"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"419","A520_Conceicao_das_Alagoas_(automatica)",0.319,0.392,0.731,0.802
"420","A521_Pampulha_(automatica)",0.226,0.39,0.586,0.655
"421","A522_Serra_dos_Aimores_(automatica)",0.427,0.383,0.493,0.545
"422","A523_Patrocinio_(automatica)",0.194,0.248,0.628,0.709
"423","A524_Formiga_(automatica)",0.315,0.42,0.594,0.785
"424","A525_Sacramento_(automatica)",0.294,0.41,0.76,0.797
"425","A526_Montalvania_(automatica)",0.509,0.586,0.87,0.899
"426","A527_Teofilo_Otoni_(automatica)",0.202,0.249,0.48,0.841
"427","A528_Tres_Marias_(automatica)",0.231,0.376,0.786,0.892
"428","A529_PASSA_QUATRO_(Automatica)",0.232,0.35,0.666,0.708
"429","A530_CALDAS",0.19,0.232,0.574,0.644
"430","A531_MARIA_DA_FE",0.255,0.334,0.514,0.623
"431","A532_GOVERNADOR_VALADARES",0.467,0.505,0.711,0.841
"432","A533_GUANHAES",0.425,0.431,0.628,0.701
"433","A534_AIMORES",0.34,0.335,0.379,0.316
"434","A536_DORES_DO_INDAIA",0.265,0.368,0.672,0.735
"435","A537_DIAMANTINA",0.251,0.346,0.696,0.806
"436","A538_CURVELO",0.19,0.355,0.718,0.746
"437","A539_MOCAMBINHO",0.199,0.335,0.497,0.643
"438","A540_MANTENA",0.324,0.375,0.715,0.879
"439","A541_CAPELINHA",0.27,0.32,0.543,0.768
"440","A542_UNAI",0.284,0.388,0.794,0.86
"441","A543_ESPINOSA",0.326,0.428,0.881,0.966
"442","A544_BURITIS",0.138,0.3,0.758,0.827
"443","A545_PIRAPORA",0.231,0.373,0.734,0.759
"444","A546_GUARDA-MOR",0.261,0.4,0.816,0.929
"445","A547_SAO_ROMAO",0.183,0.342,0.671,0.868
"446","A548_CHAPADA_GAUCHA",0.02,0.151,0.65,0.86
"447","A549_AGUAS_VERMELHAS",0.37,0.411,0.771,0.817
"448","A550_ITAOBIM",0.084,0.105,0.362,0.59
"449","A551_RIO_PARDO_DE_MINAS",0.409,0.476,0.92,0.954
"450","A552_SALINAS",0.201,0.329,0.768,0.821
"451","A553_JOAO_PINHEIRO",0.295,0.328,0.51,0.571
"452","A554_CARATINGA",0.246,0.332,0.56,0.52
"453","A555_IBIRITE_(Automatica)",0.33,0.452,0.646,0.756
"454","A556_MANHUACU_(Automatica)",0.303,0.364,0.644,0.699
"455","A601_Rio_de_Janeiro_(automatica)",0.139,0.237,0.457,0.415
"456","A602_MARAMBAIA",0.077,0.135,0.306,0.225
"457","A603_Xerem_(automatica)",0.058,0.096,0.384,0.467
"458","A604_Cambuci_(automatica)",0.18,0.328,0.596,0.692
"459","A606_Arraial_do_Cabo_(automatica)",0.268,0.334,0.625,0.472
"460","A607_Campos_(automatica)",0.211,0.25,0.478,0.42
"461","A608_Macae_(automatica)",0.099,0.186,0.481,0.386
"462","A609_Resende_(automatica)",0.193,0.295,0.647,0.638
"463","A610_PICO_DO_COUTO",0.131,0.15,0.4,0.391
"464","A611_Valenca_(automatica)",0.272,0.379,0.545,0.551
"465","A612_Vitoria_(automatica)",0.163,0.2,0.227,0.299
"466","A613_Santa_Tereza_(automatica)",0.142,0.165,0.264,0.297
"467","A614_Linhares_(automatica)",0.246,0.265,0.493,0.693
"468","A615_Alfredo_Chaves",0.109,0.165,0.426,0.827
"469","A616_SAO_MATEUS",0.154,0.184,0.416,0.623
"470","A617_ALEGRE",0.136,0.21,0.638,0.813
"471","A618_TERESOPOLIS",0.087,0.153,0.4,0.428
"472","A619_PARATI",0.117,0.184,0.639,0.72
"473","A621_VILA_MILITAR",0.083,0.158,0.495,0.502
"474","A622_PRESIDENTE_KENNEDY_(Automatica)",0.166,0.218,0.506,0.615
"475","A623_NOVA_VENECIA_(Automatica)",0.222,0.246,0.641,0.789
"476","A624_NOVA_FRIBURGO_(Automatica)",0.019,0.032,0.268,0.348
"477","A652_Forte_de_Copacabana",0.03,0.091,0.392,0.229
"478","A701_Sao_Paulo_(automatica)",0.092,0.188,0.546,0.563
"479","A702_Campo_Grande_(automatica)",0.153,0.207,0.373,0.469
"480","A703_Ponta_Pora_(automatica)",0.104,0.149,0.421,0.593
"481","A704_Tres_Lagoas_(automatica)",0.21,0.325,0.58,0.732
"482","A705_Bauru_(automatica)",0.135,0.231,0.646,0.729
"483","A706_Campos_do_Jord¿¿o_(automatica)",0.252,0.27,0.582,0.545
"484","A707_Presidente_Prudente_(automatica)",0.158,0.254,0.484,0.452
"485","A708_Franca_(automatica)",0.139,0.225,0.731,0.734
"486","A709_Ivinhema_(automatica)",0.02,0.047,0.234,0.17
"487","A710_Paranaiba_(automatica)",0.088,0.201,0.506,0.71
"488","A711_Sao_Carlos_(automatica)",0.111,0.205,0.593,0.671
"489","A712_Iguape_(automatica)",0.171,0.143,0.262,0.206
"490","A713_Sorocaba_(automatica)",0.189,0.297,0.612,0.543
"491","A714_Itapeva_(automatica)",0.213,0.282,0.481,0.386
"492","A715_Sao_Miguel_Arcanjo_(automatica)",0.339,0.387,0.726,0.657
"493","A716_Ourinhos_(automatica)",0.124,0.254,0.523,0.418
"494","A717_Nhumirim_(automatica)",0.234,0.317,0.624,0.674
"495","A718_Rancharia_(automatica)",0.185,0.283,0.608,0.64
"496","A719_Aquidauana_(automatica)",0.115,0.154,0.379,0.348
"497","A720_Coxim_(automatica)",0.193,0.213,0.401,0.41
"498","A721_Dourados_(automatica)",0.249,0.125,0.128,0.027
"499","A722_Miranda_(automatica)",0.112,0.157,0.288,0.242
"500","A723_Porto_Murtinho_(automatica)",0.115,0.069,0.065,0.057
"501","A724_Corumba_(automatica)",0.119,0.172,0.245,0.329
"502","A725_Avare_(automatica)",0.11,0.227,0.614,0.661
"503","A726_Lins_(automatica)",0.047,0.112,0.379,0.631
"504","A727_Piracicaba_(automatica)",0.065,0.168,0.513,0.492
"505","A728_TAUBATE",0.078,0.183,0.643,0.762
"506","A729_VOTUPORANGA",0.207,0.284,0.507,0.531
"507","A730_CHAPADAO_DO_SUL",0.049,0.098,0.293,0.559
"508","A731_MARACAJU",0.024,0.068,0.188,0.241
